,artist_name,track_name,track_id,popularity
514,Lil Uzi Vert,Yessirskiii,59JWp4PjZ9TRM8cmtaDYB1,81
526,Dua Lipa,Future Nostalgia,6zrJLhslleCHby0wbUnvVy,81
527,DaBaby,LIGHTSKIN SH*T (feat. Future & jetsonmade),16oi4OiKmkO51l60F5R9kR,77
528,Future,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",4iiWcajF1fEUpwcUewc464,83
530,Future,Fine China,5274I4mUMnYczyeXkGDWZN,79
531,Young Thug,Relationship (feat. Future),25oOaleife6E2MIKmFkPvg,82
532,Lil Baby,Live Off My Closet (feat. Future),6AyWdCtEn1DdxjnxPeojR2,77
533,Future,Tycoon,1c9hQ4jqgVP10plon2B259,77
534,Lil Uzi Vert,Wassup (feat. Future),19Ec2gbNtQTE44IizcPjtD,76
555,Alicia Keys,No One,6IwKcFdiRQZOWeYNhUiWIv,80
556,Alicia Keys,Underdog,3FGiFUJRRp5RGikVrs6kig,83
557,Alicia Keys,If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ,79
558,Usher,My Boo,68vgtRHr7iZHpzGpon6Jlo,77
559,JAY-Z,Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,79
560,Alicia Keys,Girl on Fire,4esOae7i4rqTbAu9o5Pxco,77
561,Alicia Keys,Fallin',3unsLiH5FXmaDWtT5Imolu,74
562,Alicia Keys,Show Me Love,0XPlSuCVQ1nOhzTpFgnDSz,68
563,Alicia Keys,Good Job,3H68NURFkJOaG0woWCK2sL,59
564,Alicia Keys,Empire State of Mind (Part II) Broken Down,5sra5UY6sD658OabHL3QtI,75
567,3 Dope Brothas,"Oprah's Bank Account (Originally Performed by Lil Yachty, DaBaby and Drake) [Instrumental]",0O5F2GFrGRxfxGMDkAW26O,20
568,Miranda Lambert,Bluebird,0kPeZAyIhIfeZNrtfjJGDB,74
569,Miranda Lambert,Automatic,0B0y2FImat9j9MJTNRZWfW,67
570,Miranda Lambert,The House That Built Me,02eD9ymfJOJOhM97HYp5R9,67
571,Miranda Lambert,Mama's Broken Heart,2mXsZsJBThTaJXbNcg5QD4,67
572,Jason Aldean,Drowns The Whiskey (feat. Miranda Lambert),2dwoqUYTy6SOy1dFqcTndC,66
573,Miranda Lambert,Tin Man,4ckQIgBy1gVeevf7UAereE,63
574,Miranda Lambert,Somethin' Bad (with Carrie Underwood) - (Duet with Carrie Underwood),6s9m5J92By7jii22Q2XtY2,63
575,Miranda Lambert,It All Comes Out in the Wash,41FLEFSeRCv19OBn0vLiaH,63
576,Miranda Lambert,Gunpowder & Lead,3z1PqYwMtct2Dm4R9lhWnT,60
577,Miranda Lambert,Vice,4Qtw0HNKSbIRT5sWUnbRXc,59
619,Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,84
620,Taylor Swift,The Man,3RauEVgRgj1IuWdJ9fDs70,83
621,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,83
622,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,84
623,Taylor Swift,I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,78
624,Taylor Swift,Lover (Remix) [feat. Shawn Mendes],3i9UVldZOE0aD0JnyfAZZ0,80
625,Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,76
626,Taylor Swift,Delicate,6NFyWDv5CjfwuzoCkw47Xf,76
627,Taylor Swift,Only The Young - Featured in Miss Americana,2slqvGLwzZZYsT4K4Y1GBC,77
628,Taylor Swift,The Archer,3pHkh7d0lzM2AldUtz2x37,74
629,8-Bit Arcade,Last Time I Say Sorry (8-Bit Kane Brown & John Legend Emulation),2qZmrBAPKoKmwX1SEiF66V,17
630,Arcade Player,Last Time I Say Sorry (16-Bit Kane Brown & John Legend Emulation),7ftjvM8B1nCieaGThklSsO,1
631,Vox Freaks,Last Time I Say Sorry (Originally Performed by Kane Brown and John Legend) [Instrumental],6MIgmxjvmfznNVelWqS5Ug,12
632,Karaoke Pro,Last Time I Say Sorry (Originally Performed by Kane Brown & John Legend) - Karaoke Version,3JjC8se68bp5skSOkw1pUb,5
633,Karaoke Pro,Last Time I Say Sorry (Originally Performed by Kane Brown & John Legend) - Instrumental Version,43TBnnAoAb3CU2MWZUOUd0,1
644,Dustin Lynch,Ridin’ Roads,2VPmBOuy7ZAOFSzKwW2IEt,75
645,Dustin Lynch,Small Town Boy,2YMhrXQYKkm4kXLcXKKd5z,74
646,Dustin Lynch,Good Girl,3NgcaTIgVh77DdwAInp996,72
647,Dustin Lynch,Momma’s House,51FVpJr3WL7vvdfCa7j2jr,71
648,Dustin Lynch,Thinking 'Bout You (feat. Lauren Alaina),6NebrV4ZigAoXIRbe11hxh,67
